,ticks,raw_i,raw_j,raw_k,norm_w,norm_i,norm_j,norm_k,roll,pitch,yaw
eab07098-a99b-4af3-883f-bf28e6717cd4,6806,7413,-1111,6518,0.58,0.61,-0.09,0.54,68.32,-49.32,51.11
a34201bb-dc69-4c84-bcfb-19881807703a,6826,7415,-1106,6516,0.23,0.73,-0.11,0.64,112.15,-77.85,40.05
560ee68b-64bd-4b55-a2db-d42cb6c8281f,6847,7417,-1100,6514,0.17,0.74,-0.11,0.65,136.06,-81.36,21.38
812100a0-ac4a-4a08-9d2b-2c4dfc967bfd,6867,7419,-1095,6512,0.14,0.74,-0.11,0.65,151.82,-82.29,7.94
a7b2bc21-a3c3-4927-ac7c-58e77e1a37ef,6886,7420,-1091,6510,0.12,0.74,-0.11,0.65,162.35,-82.55,-1.21
55b4b714-f930-425d-a2c6-150cbd365cd6,6906,7422,-1087,6508,0.11,0.74,-0.11,0.65,170.48,-82.58,-8.3
b14dc933-1293-4a45-aa08-87aaf649f24a,6927,7423,-1084,6507,0.1,0.74,-0.11,0.65,176.86,-82.53,-13.86
2ff2b9af-a65a-4c61-b06b-06da6b9b4750,6949,7425,-1083,6504,0.09,0.74,-0.11,0.65,-178.27,-82.4,-18.11
59f837ed-f8c0-46d6-b3d9-0127b7954541,6969,7427,-1080,6503,0.09,0.75,-0.11,0.65,-174.81,-82.28,-21.08
be00b9b0-0887-403a-8a5e-4ba9eacec34c,6987,7428,-1078,6501,0.08,0.75,-0.11,0.65,-172.14,-82.17,-23.37
a3735a95-7824-44b1-a715-4224480200ea,7006,7429,-1077,6500,0.08,0.75,-0.11,0.65,-169.87,-82.06,-25.31
b988b673-878e-4a9c-b863-47082aef2886,7026,7231,-1257,6627,0.07,0.73,-0.13,0.67,-147.71,-83.51,-48.7
92a3f673-6e0d-4349-af67-91227c7413d9,7048,7192,-2111,6221,0.07,0.74,-0.22,0.64,-136.31,-75.73,-67.34
b93aed25-6c17-4296-9f85-828c1c406c20,7049,7208,-2086,6221,0.07,0.74,-0.21,0.64,-137.09,-75.83,-66.32
b88a0d17-d796-461f-b4bb-accbb78da539,7069,8125,-1975,5432,0.07,0.81,-0.2,0.54,-165.5,-65.61,-36.7
72abf4bc-9242-4a82-88c2-a985a88af7d5,7085,-8192,1849,-5028,0.07,-0.84,0.19,-0.51,-146.84,-56.2,-43.5
0016fb8c-b3ae-4997-8721-4bde20ca4caa,7106,-7563,3141,-2497,0.06,-0.88,0.37,-0.29,-158.36,-27.79,-50.52
369c1f02-5df1-44f7-8263-037e79d93c3b,7128,-6170,4123,-200,0.06,-0.83,0.55,-0.03,-172.37,1.38,-67.41
9e1418d2-6915-49f5-9484-66a4fa66e46c,7150,-6649,3275,1659,0.06,-0.87,0.43,0.22,174.73,25.64,-53.65
285b421e-1307-4564-8f2a-fa5689f8865e,7169,-8135,2333,2748,0.06,-0.91,0.26,0.31,176.1,36.4,-33.29
37b73880-bfe3-4557-b2e8-7b1fb8bc663c,7190,-9248,1783,3067,0.06,-0.93,0.18,0.31,179.63,36.64,-21.95
0f8830d7-8f86-4c7b-a77d-faaca01d6835,7210,8970,-1396,-3085,0.06,0.93,-0.15,-0.32,165.96,35.74,-22.24
34d15e3f-9a5d-45fe-a5af-c5e4e1eadcb4,7230,6379,-1041,-2696,0.05,0.91,-0.15,-0.38,163.08,43.1,-25.26
8f0dbcea-1388-471e-9f81-fe24882c653c,7250,4451,-949,-2185,0.05,0.88,-0.19,-0.43,157.64,47.84,-34.09
cfa1e2c3-73c4-412d-99da-3096d78bde50,7270,2113,-1153,-1693,0.05,0.72,-0.39,-0.57,122.57,51.58,-86.89
a7a616de-cae0-4256-9e5f-f32a4d898d52,7290,283,-3043,-263,0.05,0.09,-0.99,-0.09,169.65,-4.85,-168.93
42f3f52e-c1f6-4f0c-9795-3938e097eac2,7311,239,-4672,2277,0.05,0.05,-0.9,0.44,-128.18,-7.41,-177.75
429c7097-7b36-4476-b5cf-a5c8586e56e4,7329,2514,-6220,5387,0.05,0.29,-0.72,0.63,-103.69,-25.81,-156.39
e8cfa3ba-c9cb-4356-8de9-4bdeee9755a3,7352,3301,-6725,6572,0.05,0.33,-0.67,0.66,-98.48,-30.02,-153.74
bafc4522-f67e-4ee1-a2ea-f5e2472ddfaf,7371,5438,-5754,4928,0.05,0.58,-0.62,0.53,-126.33,-42.28,-115.37
48caea9f-2be4-4936-925e-001fa49e2c3d,7393,5141,-4944,6207,0.05,0.54,-0.52,0.66,-102.06,-49.5,-128.67
e6fb83ce-da1e-4862-b830-b3f9623e25ba,7413,6400,-4674,5003,0.05,0.68,-0.5,0.53,-132.29,-50.59,-95.89
6042c04a-1a06-4f76-9ff7-5a316e4656ba,7431,6376,-4655,5031,0.04,0.68,-0.5,0.54,-131.59,-50.8,-96.36
c4a66c2f-77cf-4ab4-a0b7-3868d012a027,7452,6387,-4648,5014,0.04,0.68,-0.5,0.54,-131.88,-50.7,-95.97
5513f1c4-84ac-4759-bb86-a100efe9558a,7471,6399,-4638,4999,0.04,0.68,-0.5,0.53,-132.16,-50.63,-95.57
3855c85e-1769-4e77-ad39-952e26934666,7492,6412,-4626,4982,0.04,0.69,-0.49,0.53,-132.48,-50.56,-95.11
